"title","geo_accession","source_name_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","group","tissue"
"Tame_fox_prefrontal_cortex_ID181","GSM2027444","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID182","GSM2027445","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID183","GSM2027446","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID184","GSM2027447","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID185","GSM2027448","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID186","GSM2027449","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID187","GSM2027450","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID188","GSM2027451","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID189","GSM2027452","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID190","GSM2027453","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID191","GSM2027454","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Tame_fox_prefrontal_cortex_ID192","GSM2027455","1.5 year adult tame fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","tame","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID229","GSM2027456","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID230","GSM2027457","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID231","GSM2027458","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID232","GSM2027459","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID233","GSM2027460","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID234","GSM2027461","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID235","GSM2027462","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID236","GSM2027463","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID237","GSM2027464","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID238","GSM2027465","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID239","GSM2027466","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Aggr_fox_prefrontal_cortex_ID240","GSM2027467","1.5 year adult aggressive fox right prefrontal cortex","developmental stage: 1.5 year adult","tissue: Right prefrontal cortex","Sex: male","aggressive","prefrontal_cortex"
"Tame_fox_basal_forebrain_ID482","GSM2027468","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID483","GSM2027469","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID484","GSM2027470","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID485","GSM2027471","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID486","GSM2027472","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID487","GSM2027473","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID488","GSM2027474","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID489","GSM2027475","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID490","GSM2027476","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID491","GSM2027477","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Tame_fox_basal_forebrain_ID492","GSM2027478","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Aggr_fox_basal_forebrain_ID529","GSM2027479","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID530","GSM2027480","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID531","GSM2027481","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID532","GSM2027482","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID533","GSM2027483","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID534","GSM2027484","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID536","GSM2027485","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID537","GSM2027486","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID538","GSM2027487","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID539","GSM2027488","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Aggr_fox_basal_forebrain_ID540","GSM2027489","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
"Tame_fox_basal_forebrain_ID541","GSM2027490","1.5 year adult tame fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","tame","basal_forebrain"
"Aggr_fox_basal_forebrain_ID595","GSM2027491","1.5 year adult aggressive fox right basal forebrain","developmental stage: 1.5 year adult","tissue: Right basal forebrain","Sex: male","aggressive","basal_forebrain"
