"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051180","vitamin transport","7/400","19/11395",0.368421052631579,10.4953947368421,7.90069904422228,2.17875694300772e-06,0.00437258038169709,0.00406501570162691,"SLC2A1/TCN2/APOA1/SLC46A1/STRA6/SLC25A19/SLC49A4",7
"GO:0044283","small molecule biosynthetic process","29/400","321/11395",0.0903426791277259,2.57363707165109,5.45475590501558,2.9189455151516e-06,0.00437258038169709,0.00406501570162691,"DKKL1/EGR1/APRT/THNSL2/PRPS1/COQ9/CYB5R3/MECR/CDO1/SLC37A4/TPI1/APOE/ITPKB/GOT1/SIRT2/APOA1/DHCR7/COQ8A/SLC25A19/SREBF1/PGAM1/ACOT8/PDK2/PSPH/GBA1/TM7SF2/SHMT2/BCAT2/PCBD2",29
"GO:0071402","cellular response to lipoprotein particle stimulus","6/400","15/11395",0.4,11.395,7.68368369614365,6.89136901874533e-06,0.00688218052672034,0.00639809207845619,"LDLR/MYD88/APOE/APOA1/TGFB1/CD9",6
"GO:0055094","response to lipoprotein particle","5/400","11/11395",0.454545454545455,12.9488636363636,7.56216223529934,2.01646004321607e-05,0.0151032857236884,0.0140409296693414,"LDLR/MYD88/APOE/TGFB1/CD9",5
"GO:0001944","vasculature development","28/400","363/11395",0.0771349862258953,2.19738292011019,4.42211193240968,7.86269714996974e-05,0.0400512182983645,0.0372340396379286,"EGR2/LDLR/JUNB/CCBE1/EPHB3/ENG/SPRY2/ATP5F1B/APOE/TGM2/EMC10/EMILIN1/STRA6/ID1/NAGLU/CITED1/TGFB1/ADGRA2/ROM1/CIB1/EPHA2/WASF2/NRP2/TEAD2/PDGFB/AMOTL2/ACTA2/SGPL1",28
"GO:0006897","endocytosis","25/400","310/11395",0.0806451612903226,2.29737903225806,4.41723352188049,9.40101509377362e-05,0.0400512182983645,0.0372340396379286,"WDR54/LDLR/CD302/MYO1F/MYD88/CALR/RARA/LMBR1L/NCF4/CDC42SE1/ITGB2/APOE/TGM2/MRC2/APOA1/LMAN2/SNX33/MYO7A/CD9/VPS28/TRIP10/CLTB/WASF2/EHD3/INPPL1",25
"GO:0001568","blood vessel development","27/400","348/11395",0.0775862068965517,2.21023706896552,4.37329106031068,9.56241189439792e-05,0.0400512182983645,0.0372340396379286,"EGR2/LDLR/JUNB/CCBE1/EPHB3/ENG/SPRY2/ATP5F1B/APOE/TGM2/EMC10/EMILIN1/STRA6/ID1/NAGLU/CITED1/TGFB1/ADGRA2/CIB1/EPHA2/WASF2/NRP2/TEAD2/PDGFB/AMOTL2/ACTA2/SGPL1",27
"GO:0042063","gliogenesis","15/400","139/11395",0.107913669064748,3.07419064748201,4.69282669363395,0.00010694584325331,0.0400512182983645,0.0372340396379286,"EGR2/LDLR/MYD88/TNFRSF1B/IL34/NAB2/C1QA/SIRT2/CRB1/NAGLU/TGFB1/CD9/NDUFS2/GBA1/BMERB1",15
"GO:0046165","alcohol biosynthetic process","10/400","69/11395",0.144927536231884,4.1286231884058,4.97175836300558,0.000135494814786509,0.0417054048837764,0.0387718717315974,"CYB5R3/APOE/ITPKB/GOT1/APOA1/DHCR7/SREBF1/GBA1/TM7SF2/PCBD2",10
"GO:0048514","blood vessel morphogenesis","24/400","299/11395",0.0802675585284281,2.2866220735786,4.30005345554915,0.000139203621107398,0.0417054048837764,0.0387718717315974,"LDLR/JUNB/CCBE1/EPHB3/ENG/SPRY2/ATP5F1B/APOE/TGM2/EMC10/EMILIN1/STRA6/ID1/NAGLU/CITED1/TGFB1/ADGRA2/CIB1/EPHA2/WASF2/NRP2/TEAD2/AMOTL2/SGPL1",24
"GO:0016126","sterol biosynthetic process","7/400","35/11395",0.2,5.6975,5.30862602274233,0.000178798099643574,0.0486981005938315,0.0452727054217125,"CYB5R3/SQLE/APOE/APOA1/DHCR7/SREBF1/TM7SF2",7
"GO:0005975","carbohydrate metabolic process","26/400","344/11395",0.0755813953488372,2.153125,4.14214507917819,0.000195755449228538,0.048851324737675,0.0454151518712276,"KHK/NPL/SPATA20/FUCA1/MPI/DCXR/MAN2B1/SLC37A4/YDJC/TPI1/GOT1/LCT/GUSB/AKT1/CHST7/MOGS/TGFB1/PGAM1/CHID1/BAD/PDK2/ENO2/HAS3/GAPDHS/PDGFB/INPPL1",26
"GO:0035239","tube morphogenesis","30/400","426/11395",0.0704225352112676,2.00616197183099,4.03700852676525,0.000223592207074944,0.048851324737675,0.0454151518712276,"LDLR/JUNB/CCBE1/RARA/EPHB3/ENG/SPRY2/ATP5F1B/CTSH/APOE/CCDC40/TGM2/PFN1/EMC10/EMILIN1/STRA6/ID1/NAGLU/CITED1/TGFB1/TCTN1/ADGRA2/CIB1/EPHA2/WASF2/WNT1/NRP2/TEAD2/AMOTL2/SGPL1",30
"GO:0006801","superoxide metabolic process","6/400","26/11395",0.230769230769231,6.57403846153846,5.42707705932852,0.00022827721840035,0.048851324737675,0.0454151518712276,"NQO1/SH3PXD2B/NCF4/NAGLU/TGFB1/PRDX2",6
"GO:0031646","positive regulation of nervous system process","4/400","10/11395",0.4,11.395,6.27232369115501,0.000265467096580335,0.0497087138346678,0.0462122327336557,"EGR2/TNFRSF1B/ATPSCKMT/GBA1",4
"GO:0071404","cellular response to low-density lipoprotein particle stimulus","4/400","10/11395",0.4,11.395,6.27232369115501,0.000265467096580335,0.0497087138346678,0.0462122327336557,"LDLR/MYD88/TGFB1/CD9",4
